Risque (points d'attention);Causes (facteurs à l'origine de ces points d'attention);Libellé PA (ce qui est prévu pour couvrir le risque);Porteur;Mail du porteur;Echeance;Avancement;Commentaires ;Statut;CONTRÔLE DESCRIPTION (réponses ou solutions aux points d'attention identifiés);Type de contrôle;Méhode de contrôle;Proba;Synthèse = gravité;Finance;RH;Image;Juridik;Commercial;Criticité
Risque de manque de performance économique des offres/projets;rémunération de la banque par du sharing;"Prendre en compte de l'intéressement de la banque par les devises et non par le sharing

Etudier avec OFMS la possibilité d'aller sur un modèle de partenariat de distribution

Transmettre le schéma technique et les flux financiers à OFMS lors de la sélection de la banque ";Souleymane Ba ;souleye.ba@orange-sonatel.com;25/05/17;;attente rédaction du cahier de charges et des inputs sur les prévisions de flux;soldé;critères de recrutement précisée dans l'AO: banque intéressée par les devises et non pas par le sharing;Préventif;Manuelle;2;1;1;;;;;
Risque de manque de performance économique des offres/projets;possibilité de faire du transfert RIA en national;;;souleye.ba@orange-sonatel.com;;;;;blocage du code RIA durant les développements pour éviter les transferts en national;Préventif;Automatique;1;1;1;;;;;
Risque de manque de performance économique des offres/projets;facturation par RIA avec du dollar ;Rediscuter de la monnaie d'échange avec le partenaire RIA;Souleymane Ba;souleye.ba@orange-sonatel.com;16/08/17;;;soldé;la banque recrutée sera couverte par la Bank Of America ;Préventif;Automatique;4;1;1;;;;;
Risque de manque de performance économique des offres/projets;Faiblesse du pourcentage de clients full adressables (12% sur le parc actif du million) - blocage des comptes client light;Définir dans le cadre du Plan d'Urgence Conformité le mode de prise en charge des clients light pour que leurs dossiers soient conformes afin qu'ils puissent bénéficier des transactions internationales;Souleymane Ba;souleye.ba@orange-sonatel.com;31/12/17;;;non échu;on adresse toute la base et on invite les clients light à être conforme avant de bénéficier de leurs fonds;Préventif;Automatique;3;1;1;;;;;
Risque de non respect des engagements commerciaux;envoi sur des comptes light qui ne peuvent retirer l'argent;Définir dans le cadre du Plan d'Urgence Conformité le mode de prise en charge des clients light pour que leurs dossiers soient conformes afin qu'ils puissent bénéficier des transactions internationales;Souleymane Ba;souleye.ba@orange-sonatel.com;31/12/17;;;non échu;"transfert avec code: message qui invite les comptes light à compléter leur dossier pour pouvoir convertir le code ria en UV. Sinon ils récupèrent leur code dans un point RIA

dépôt direct: message qui invite les comptes light à compléter leur dossier avant de déposer le montant du transfert";Préventif;Automatique;2;3;1;;2;;3;
Risque de non respect des engagements commerciaux;durée de validité des codes RIA non précisée au client;;Souleymane Ba;souleye.ba@orange-sonatel.com;;;;;durée de validité des codes RIA: 21 jours;Préventif;Automatique;1;3;1;;2;;3;
Risque de non respect des engagements commerciaux;erreur de destinataire lors de l'envoi - impossibilité pour le client de récupérer ses fonds;Finaliser la procédure de RIA de traitement des réclamations clients;Souleymane Ba;souleye.ba@orange-sonatel.com;31/12/17;;;non échu;maintien du schéma actuel;Préventif;Manuelle;1;3;1;;2;;3;
Risque de lancement de projet non fonctionnel;informations d'identification du bénéficiaire non transmises à RIA;Verrouiller avec DRJ et OFMS les transactions sur les informations client sur la base du schéma technique;Souleymane Ba;souleye.ba@orange-sonatel.com;31/07/17;;;soldé;;;;1;2;3;;2;;2;
Risque de lancement de projet non fonctionnel;Non respect du taux de similitude de 100% exigé par la BCEAO sur les noms-prénom ;Réaliser des tests pour s'assurer du respect de l'exigence BCEAO sur les taux de similitudes des noms-prénom;Souleymane Ba;souleye.ba@orange-sonatel.com;30/11/17;;;non échu;;;;2;2;3;;2;;2;
Risque de non respect des engagements commerciaux;Code non fonctionnel -impossibilité de convertir le code RIA en UV;Finaliser la procédure de RIA de traitement des réclamations clients;Souleymane Ba;souleye.ba@orange-sonatel.com;31/12/17;;;non échu;;;;1;3;1;;2;;3;
Risque de non respect des dispositions juridiques et règlementaires;dossier non instruit ou instruit tardivement auprès de la BCEAO;Instruire le dossier du projet auprès de la BCEAO ;Souleymane Ba;souleye.ba@orange-sonatel.com;30/10/17;;;non échu;;;;2;2;;;2;1;;
Risque de lancement de projet non fonctionnel;Documentation impactée non mise à jour;Dérouler un atelier afin d'identifier les process impactés en vue de la mise à jour.;Souleymane Ba;souleye.ba@orange-sonatel.com;25/05/17;;;Soldé;;;;2;2;3;;2;;2;
Risque de fraude;Chargement de code Ria déjà chargé;Réaliser des tests pour s'assurer de l'impossibilité de chargement de code Ria déjà chargé;Souleymane Ba;souleye.ba@orange-sonatel.com;30/10/17;;;non échu;;;;1;2;2;;2;;;
Risque de fraude;Chargement simultané de code Ria;Réaliser des tests pour s'assurer de l'impossibilité d'utilisation simultanée d'un code Ria;Souleymane Ba;souleye.ba@orange-sonatel.com;30/10/17;;;non échu;;;;1;2;2;;2;;;
